inspection_id,lon,lat,census_block_2010
235,-76.9979052,38.90039343,110010106003006
236,-76.9979052,38.90039343,110010106003006
237,-76.98862421,38.89999589,110010084021003
238,-76.98862421,38.89999589,110010084021003
239,-76.98862421,38.89999589,110010084021003
240,-76.98862421,38.89999589,110010084021003
241,-76.98862421,38.89999589,110010084021003
242,-76.98862421,38.89999589,110010084021003
243,-76.99647362,38.90041141,110010106003006
244,-76.99647362,38.90041141,110010106003006
245,-76.99647362,38.90041141,110010106003006
246,-76.99647362,38.90041141,110010106003006
247,-76.9995447,38.90799406,110010088031024
248,-76.9995447,38.90799406,110010088031024
249,-76.9995447,38.90799406,110010088031024
250,-76.99942329,38.90813801,110010088031024
251,-76.99942329,38.90813801,110010088031024
252,-76.99938363,38.90818927,110010088031024
253,-76.99955957,38.90896903,110010088031025
254,-76.99955957,38.90896903,110010088031025
255,-76.99952338,38.90699143,110010088031029
256,-76.98394452,38.88791296,110010067001002
257,-76.98394452,38.88791296,110010067001002
258,-76.98394452,38.88791296,110010067001002
259,-77.00365945,38.90787077,110010106002005
260,-77.00365945,38.90787077,110010106002005
261,-77.00365945,38.90787077,110010106002005
262,-77.00365945,38.90787077,110010106002005
263,-77.00365945,38.90787077,110010106002005
264,-76.99876979,38.90908497,110010088031027
265,-76.99876979,38.90908497,110010088031027
266,-76.99818212,38.90888299,110010088031027
267,-76.99818212,38.90888299,110010088031027
268,-76.99814742,38.90892569,110010088031027
269,-76.99814742,38.90892569,110010088031027
270,-76.99765027,38.90871669,110010088031019
271,-76.99765027,38.90871669,110010088031019
272,-76.99765027,38.90871669,110010088031019
273,-76.99938363,38.90818927,110010088031024
274,-76.99938363,38.90818927,110010088031024
275,-76.99938363,38.90818927,110010088031024
276,-76.99938363,38.90818927,110010088031024
277,-76.99938363,38.90818927,110010088031024
278,-76.99938363,38.90818927,110010088031024
279,-76.99938363,38.90818927,110010088031024
280,-76.99938363,38.90818927,110010088031024
281,-76.99938363,38.90818927,110010088031024
282,-76.99938363,38.90818927,110010088031024
283,-76.99938363,38.90818927,110010088031024
284,-76.99938363,38.90818927,110010088031024
285,-76.9990396,38.90763832,110010088031024
286,-77.01914475,38.89868335,110010058002004
287,-77.01914475,38.89868335,110010058002004
288,-77.01914475,38.89868335,110010058002004
289,-76.99938363,38.90818927,110010088031024
290,-76.99938363,38.90818927,110010088031024
291,-77.00365945,38.90787077,110010106002005
292,-76.99938363,38.90818927,110010088031024
293,-76.99938363,38.90818927,110010088031024
294,-76.99938363,38.90818927,110010088031024
295,-76.99938363,38.90818927,110010088031024
296,-76.99938363,38.90818927,110010088031024
297,-76.99853667,38.90838303,110010088031024
298,-76.99938363,38.90818927,110010088031024
299,-76.99938363,38.90818927,110010088031024
300,-76.99938363,38.90818927,110010088031024
301,-77.00479907,38.90516336,110010106002021
302,-77.00479907,38.90516336,110010106002021
303,-77.00479907,38.90516336,110010106002021
304,-76.98771363,38.9004864,110010084101001
305,-76.98605278,38.92392203,110010091022000
306,-76.98605278,38.92392203,110010091022000
307,-76.98605278,38.92392203,110010091022000
308,-76.98747351,38.90039566,110010084101001
